dataset,mode,lang,axis,metric,mean,median,std,n_queries,n_planned,n_success,n_failure,n_zero_result
hard_queries,rrf,en,lessons_wildcard,facet_conjunctive_macro,0.75,1.0,0.3818813079129867,6,6,6,0,0
hard_queries,rrf,en,longitudinal,facet_present_macro,0.5,0.5,0.0,1,1,1,0,0
hard_queries,rrf,en,longitudinal,facet_conjunctive_macro,0.5,0.5,0.0,1,1,1,0,0
hard_queries,rrf,en,multi_omics,facet_present_macro,0.3333333333333333,0.3333333333333333,0.3333333333333333,2,2,2,0,0
hard_queries,rrf,en,multi_omics,facet_conjunctive_macro,0.3333333333333333,0.3333333333333333,0.3333333333333333,2,2,2,0,0
hard_queries,rrf,en,multi_organism,facet_present_macro,1.0,1.0,0.0,2,2,2,0,0
hard_queries,rrf,en,multi_organism,facet_conjunctive_macro,1.0,1.0,0.0,2,2,2,0,0
hard_queries,rrf,en,negation,facet_present_macro,0.8333333333333333,0.8333333333333333,0.16666666666666669,2,2,2,0,0
hard_queries,rrf,en,negation,facet_conjunctive_macro,0.8333333333333333,0.8333333333333333,0.16666666666666669,2,2,2,0,0
hard_queries,rrf,en,negation,exclusion_clean_at_k,0.7,0.7,0.3,2,2,2,0,0
hard_queries,rrf,en,paired_multi_tissue,facet_present_macro,0.8333333333333333,0.8333333333333333,0.16666666666666669,2,2,2,0,0
hard_queries,rrf,en,paired_multi_tissue,facet_conjunctive_macro,0.6666666666666666,0.6666666666666666,0.33333333333333337,2,2,2,0,0
hard_queries,rrf,ko,ALL,facet_present_macro,0.7891156462585034,1.0,0.26890116157894384,49,49,49,0,0
hard_queries,rrf,ko,ALL,facet_conjunctive_macro,0.7687074829931972,1.0,0.2731697007518539,49,49,49,0,0
hard_queries,rrf,ko,ALL,exclusion_clean_at_k,0.8090909090909091,0.9,0.24291616756158887,11,49,49,0,0
hard_queries,rrf,ko,abbrev_ambiguous,facet_present_macro,0.75,0.6666666666666666,0.18633899812498247,6,6,6,0,0
hard_queries,rrf,ko,abbrev_ambiguous,facet_conjunctive_macro,0.75,0.6666666666666666,0.18633899812498247,6,6,6,0,0
hard_queries,rrf,ko,abbrev_ambiguous,exclusion_clean_at_k,1.0,1.0,0.0,2,6,6,0,0
hard_queries,rrf,ko,abbrev_standard,facet_present_macro,0.8888888888888888,1.0,0.15713484026367724,6,6,6,0,0
hard_queries,rrf,ko,abbrev_standard,facet_conjunctive_macro,0.8333333333333334,0.8333333333333333,0.16666666666666669,6,6,6,0,0
hard_queries,rrf,ko,abbrev_tcga,facet_present_macro,0.6333333333333333,0.6666666666666666,0.22110831935702666,5,5,5,0,0
hard_queries,rrf,ko,abbrev_tcga,facet_conjunctive_macro,0.6333333333333333,0.6666666666666666,0.22110831935702666,5,5,5,0,0
hard_queries,rrf,ko,abbrev_tcga,exclusion_clean_at_k,0.9,0.9,0.0,1,5,5,0,0
hard_queries,rrf,ko,cardinality_and,facet_present_macro,0.8333333333333334,1.0,0.2545875386086578,6,6,6,0,0
hard_queries,rrf,ko,cardinality_and,facet_conjunctive_macro,0.8333333333333334,1.0,0.2545875386086578,6,6,6,0,0
hard_queries,rrf,ko,celltype_x_tissue,facet_present_macro,0.5,0.5,0.0,2,2,2,0,0
hard_queries,rrf,ko,celltype_x_tissue,facet_conjunctive_macro,0.5,0.5,0.0,2,2,2,0,0
hard_queries,rrf,ko,dose_response,facet_present_macro,1.0,1.0,0.0,1,1,1,0,0
hard_queries,rrf,ko,dose_response,facet_conjunctive_macro,1.0,1.0,0.0,1,1,1,0,0
hard_queries,rrf,ko,dual_disease,facet_present_macro,0.5,0.5,0.5,2,2,2,0,0
hard_queries,rrf,ko,dual_disease,facet_conjunctive_macro,0.5,0.5,0.5,2,2,2,0,0
hard_queries,rrf,ko,exclusion_extended,facet_present_macro,0.9444444444444445,1.0,0.12422599874998833,6,6,6,0,0
hard_queries,rrf,ko,exclusion_extended,facet_conjunctive_macro,0.8888888888888888,1.0,0.15713484026367724,6,6,6,0,0
hard_queries,rrf,ko,exclusion_extended,exclusion_clean_at_k,0.7166666666666667,0.8,0.29107081994288303,6,6,6,0,0
hard_queries,rrf,ko,lessons_wildcard,facet_present_macro,0.8333333333333334,1.0,0.23570226039551584,6,6,6,0,0
hard_queries,rrf,ko,lessons_wildcard,facet_conjunctive_macro,0.8333333333333334,1.0,0.23570226039551584,6,6,6,0,0
hard_queries,rrf,ko,longitudinal,facet_present_macro,1.0,1.0,0.0,1,1,1,0,0
hard_queries,rrf,ko,longitudinal,facet_conjunctive_macro,1.0,1.0,0.0,1,1,1,0,0
hard_queries,rrf,ko,multi_omics,facet_present_macro,0.3333333333333333,0.3333333333333333,0.3333333333333333,2,2,2,0,0
